Customer_ID,Customer_Age,Location_Type,Membership_Months,Frequency,Recency,Favorite_Brand,Monetary,Installment_Rate,Flagship_Ratio,Accessories_Ratio,Credit_Card_Usage,Warranty_Claims,App_Logins_L30D,Is_VIP
CUST_00001,31,Tier 1,8,4,177,Apple,53740000,0.17715066580137007,0.9213432718185194,0.9598125513189427,0.3332795295388664,1,34,1
CUST_00002,26,Tier 1,34,5,76,Samsung,55230000,0.1492264815531631,0.6070372426864613,0.6701039514683428,0.21957403420080757,1,16,1
CUST_00003,33,Tier 2,59,1,181,Samsung,7940000,0.9390334041664841,0.5352648708547855,0.4327695115445267,0.7484414938868724,0,38,0
CUST_00004,40,Tier 1,18,1,150,Xiaomi,7830000,0.6981560032046488,0.9939914232052762,0.11225534786679603,0.09083775639150682,1,42,0
CUST_00005,26,Tier 1,31,3,82,Apple,62760000,0.41128592916476003,0.5794257189858903,0.385186290154628,0.9408582021478272,0,3,1
CUST_00006,26,Tier 2,59,1,10,Apple,16380000,0.822204150848802,0.9274583238122269,0.6506016686779605,0.15607764425628023,0,47,0
CUST_00007,40,Tier 2,27,3,280,Apple,42880000,0.21595940952226433,0.9165950505440658,0.9688142033580671,0.45753785217020915,0,6,1
CUST_00008,34,Tier 2,16,1,212,Apple,11260000,0.9310932790450988,0.289513795851007,0.4726873636408009,0.9827978496670962,0,47,0
CUST_00009,24,Tier 2,58,1,140,Apple,12470000,0.6969973208791025,0.013751075577527971,0.6924122460924058,0.9882202165370104,0,17,0
CUST_00010,32,Tier 1,10,4,260,Samsung,31810000,0.5595806410081322,0.439168407798182,0.19535899732672313,0.7759902866955368,0,43,1
CUST_00011,24,Tier 1,40,2,228,Xiaomi,22070000,0.7946484487033281,0.8613701361114108,0.6236333707356633,0.8391884848278139,3,22,0
CUST_00012,24,Tier 2,12,1,336,Samsung,5310000,0.6447809814251584,0.836134217084376,0.239054899907017,0.9671707421915003,0,27,0
CUST_00013,29,Tier 2,22,2,5,Apple,29720000,0.8871092750104823,0.6036691875331541,0.19813405211574564,0.9274295094143692,0,40,0
CUST_00014,16,Tier 2,16,1,83,Xiaomi,7600000,0.8291526600744221,0.15665841002228453,0.5092205616700667,0.6221086322838477,1,41,0
CUST_00015,16,Tier 1,12,1,6,Samsung,11590000,0.19783050504077881,0.10758771392988331,0.21166429743359993,0.7346169809287301,0,35,0
CUST_00016,23,Tier 2,11,2,152,Apple,31400000,0.23966380054436842,0.954681983778613,0.721327527224228,0.5937765539485278,0,37,1
CUST_00017,19,Tier 1,20,4,223,Samsung,42510000,0.06509741377564349,0.4213976819852572,0.9373365909663379,0.5064952739715743,0,18,1
CUST_00018,30,Tier 2,51,7,181,Oppo,50120000,0.2201989171728025,0.6481610167337426,0.3936021023947349,0.8808290165289472,0,49,1
CUST_00019,20,Tier 2,1,5,263,Oppo,30150000,0.3434888649381347,0.9058644149553647,0.3224614034267267,0.7380251121370198,0,43,1
CUST_00020,16,Tier 2,27,2,266,Samsung,14960000,0.02882735517249313,0.8698931763205916,0.1758848936027093,0.8598161703680309,1,49,0
CUST_00021,39,Tier 2,3,2,167,Apple,34660000,0.3149625462106139,0.5669031821306699,0.3903964275874954,0.09591096340541028,0,20,1
CUST_00022,26,Tier 2,12,2,78,Oppo,18480000,0.7715458416273004,0.4879051805727701,0.5596340905320569,0.5764851676244815,1,34,0
CUST_00023,28,Tier 2,30,2,42,Apple,27420000,0.8403275980136151,0.7352592131135894,0.3729694129930725,0.3295168283482487,2,49,0
CUST_00024,16,Tier 2,9,3,62,Oppo,19870000,0.008873289987423316,0.3496456924201109,0.6230762184988846,0.513393978306116,0,1,0
CUST_00025,23,Tier 1,53,3,278,Samsung,22710000,0.007147038269232686,0.6253906301254311,0.6624234149532126,0.6129654446365496,1,16,0
CUST_00026,28,Tier 2,54,5,313,Apple,72950000,0.14630710825100113,0.023152433609641365,0.09782956201474535,0.8457584721322844,0,10,0
CUST_00027,18,Tier 1,37,7,352,Apple,129440000,0.8725770607337897,0.8243125607505779,0.6977827060096121,0.03187772455861504,0,12,1
CUST_00028,31,Tier 2,1,2,31,Apple,38840000,0.46927805113235377,0.9980322752195906,0.9003175309116718,0.16398337268159568,1,40,1
CUST_00029,23,Tier 2,42,3,4,Apple,46110000,0.9829020761679809,0.954706492358876,0.026252148609508308,0.9214457412803159,0,27,1
CUST_00030,25,Tier 2,49,3,109,Apple,50520000,0.8873314657668013,0.3598948405378145,0.5513522105988594,0.9672707099232539,0,16,1
CUST_00031,23,Tier 1,4,2,93,Samsung,16200000,0.8901281134730399,0.5311012820441634,0.6038743737535993,0.05542268309744758,0,44,0
CUST_00032,42,Tier 1,15,1,99,Samsung,9680000,0.12847643192877012,0.23621696312373186,0.7098153350703653,0.3317875429168885,1,23,0
CUST_00033,27,Tier 2,51,1,192,Samsung,8220000,0.47522934921270843,0.30298740534393875,0.3857686637991171,0.009729973767240496,0,44,0
CUST_00034,19,Tier 2,27,3,333,Samsung,23330000,0.9935905973180188,0.4573461016526299,0.8187103168568544,0.7574480131947373,0,33,0
CUST_00035,34,Tier 2,8,3,212,Oppo,23900000,0.14904423026041924,0.7470809068535663,0.5398964662361845,0.681940180240984,1,48,0
CUST_00036,18,Tier 1,60,2,83,Xiaomi,19680000,0.5742334536181946,0.017882390838841355,0.4089366015639,0.5648051153986338,0,36,0
CUST_00037,29,Tier 2,60,3,207,Apple,49330000,0.3442799919530848,0.3937741304151291,0.7192566957365676,0.691661173255565,0,13,0
CUST_00038,16,Tier 2,23,2,115,Samsung,19740000,0.38785814002035524,0.5564969183233985,0.9273755316052872,0.53779121255782,0,48,0
CUST_00039,17,Tier 1,15,4,252,Apple,39380000,0.8907925040405011,0.21518304218678752,0.8120016437774679,0.2388411755804658,0,5,0
CUST_00040,29,Tier 1,27,4,61,Apple,88040000,0.587902569192283,0.07847869809603991,0.9306647779883941,0.7543337349554888,0,40,1
CUST_00041,33,Tier 2,31,1,356,Oppo,5260000,0.7587763893888053,0.5395738593183282,0.26593476203020927,0.7832777710649405,0,43,0
CUST_00042,29,Tier 2,39,3,253,Samsung,25480000,0.673234397495241,0.6378099844857796,0.11851297088670798,0.8542018930732665,0,21,0
CUST_00043,27,Tier 2,47,5,79,Oppo,58850000,0.5290156905699694,0.6410022903764451,0.5343495501588525,0.954076678461756,0,19,1
CUST_00044,25,Tier 2,8,1,196,Samsung,7930000,0.791711198770376,0.35658438503559275,0.044430424842008986,0.7475416117405452,0,22,0
CUST_00045,16,Tier 2,30,1,262,Apple,15540000,0.970732905910384,0.23736179593906725,0.6745897689212559,0.05454979153327266,0,43,0
CUST_00046,22,Tier 2,58,2,322,Xiaomi,15010000,0.9668195539557862,0.22038643901590038,0.24000152326555446,0.020838571546499263,1,31,0
CUST_00047,24,Tier 1,55,2,332,Apple,40800000,0.7894520009933703,0.04052394005730664,0.45435008840812163,0.7398706707045248,1,21,0
CUST_00048,36,Tier 1,42,1,296,Apple,19300000,0.487329755749229,0.18468335196497176,0.6555618405393181,0.05605096492721118,0,38,0
CUST_00049,30,Tier 2,18,6,236,Apple,77830000,0.16315895919120127,0.8186061271089271,0.4830953033714662,0.3159445982962267,0,49,1
CUST_00050,16,Tier 2,4,1,169,Xiaomi,7820000,0.04447050897189442,0.003051265761076505,0.23606206056654622,0.1361598875239668,0,22,0
CUST_00051,30,Tier 2,47,3,7,Samsung,18630000,0.23144496836594408,0.043888602557329404,0.8803705199960897,0.9688999044021633,1,19,0
CUST_00052,24,Tier 2,43,3,22,Samsung,23430000,0.34025799959754344,0.12701894027906713,0.7645353210400474,0.3163941553654164,0,36,0
CUST_00053,22,Tier 1,22,2,72,Oppo,17590000,0.12984961591805266,0.42024058267575426,0.6010724935694522,0.05514690817032153,1,42,0
CUST_00054,32,Tier 2,3,2,106,Samsung,16440000,0.2247653296124522,0.33373783436474125,0.6985402636083992,0.9496075425158831,0,45,0
CUST_00055,36,Tier 1,15,1,139,Oppo,8240000,0.08354546456088408,0.17783585805447855,0.41532589762793903,0.6087443786006679,0,38,0
CUST_00056,35,Tier 2,35,3,30,Samsung,22970000,0.5236769720629788,0.11094947410690104,0.37589209641835664,0.036109068748973794,2,42,0
CUST_00057,21,Tier 2,47,6,324,Xiaomi,48080000,0.12631819117354703,0.9388625369397775,0.16011157572849788,0.8333610398864005,0,33,1
CUST_00058,25,Tier 2,38,2,89,Oppo,16250000,0.7427686299229547,0.9112502212929899,0.8035914874497382,0.15252870305840638,0,16,0
CUST_00059,30,Tier 2,33,1,153,Samsung,8440000,0.3326497781440827,0.7718986083862802,0.38104424518121416,0.8024362731612393,0,14,0
CUST_00060,35,Tier 1,14,4,73,Samsung,37060000,0.6720627142112312,0.25202197472416776,0.6923239745010772,0.6027517462066567,0,20,1
CUST_00061,24,Tier 2,48,1,328,Xiaomi,6740000,0.8825194350803846,0.32369803201721625,0.2999419913209217,0.17711521463643154,0,0,0
CUST_00062,26,Tier 1,1,1,238,Oppo,9760000,0.08601654253701041,0.6658449682635487,0.7959892601266382,0.7525980527530949,2,44,0
CUST_00063,19,Tier 2,53,4,322,Samsung,30860000,0.9890007874127105,0.29169889509771196,0.10524341133290571,0.45450497560361325,0,37,0
CUST_00064,18,Tier 2,49,3,341,Oppo,28920000,0.6452433423667354,0.5306228132273559,0.6250141993350907,0.6381009397561159,0,33,0
CUST_00065,34,Tier 2,26,1,251,Samsung,9840000,0.05336593543665591,0.6512838443929847,0.80759471144147,0.8695141653149253,1,28,0
CUST_00066,38,Tier 2,8,1,305,Apple,10880000,0.31400223192616694,0.5191962965129565,0.6602502459865176,0.26029811542901826,0,1,0
CUST_00067,27,Tier 1,50,6,8,Apple,121330000,0.8862451489414563,0.41328476371515077,0.6961158066751002,0.3659713407055072,0,19,1
CUST_00068,36,Tier 2,16,2,207,Samsung,18620000,0.5962336043728979,0.34789401355751903,0.525988955417744,0.9972717852144787,0,41,0
CUST_00069,30,Tier 1,38,4,258,Apple,52620000,0.2872223672449151,0.7777499164424934,0.5590319971087657,0.5081144701563491,0,49,1
CUST_00070,22,Tier 2,10,1,284,Samsung,8930000,0.9404945843985141,0.7389989949776367,0.06589343886963506,0.5585026743966562,1,43,0
CUST_00071,30,Tier 1,42,3,139,Oppo,33960000,0.7872525704078219,0.6962280641433584,0.2508031470055788,0.2854385398313436,0,12,1
CUST_00072,40,Tier 1,37,5,46,Apple,72910000,0.7355384961499478,0.3746771131946115,0.7219287467036839,0.416027252603275,0,7,1
CUST_00073,27,Tier 2,26,2,126,Apple,28580000,0.8884271200067028,0.7757366263482796,0.9454214220576649,0.5015517471734037,1,22,0
CUST_00074,40,Tier 2,28,5,21,Oppo,41490000,0.7697799447086158,0.9577036319785568,0.5417809575929401,0.25844472638795857,0,47,1
CUST_00075,16,Tier 1,12,1,170,Samsung,10700000,0.28673835319886287,0.6889795191164917,0.7255913322577284,0.23814551114401494,0,10,0
CUST_00076,34,Tier 1,20,3,32,Apple,43320000,0.5838860755256079,0.40789925106991853,0.6835798706143285,0.6004668158641183,0,22,1
CUST_00077,28,Tier 2,49,1,150,Oppo,9850000,0.8422861677619633,0.7964812628269693,0.9993843210661949,0.18365144431961766,1,35,0
CUST_00078,25,Tier 1,14,1,206,Oppo,5700000,0.1808481067228349,0.6093020760521302,0.7950044390185197,0.5534577348015908,0,27,0
CUST_00079,28,Tier 1,46,2,333,Apple,45530000,0.1630232795012032,0.8776770450937744,0.627647333785172,0.7062140236195006,0,16,0
CUST_00080,16,Tier 2,35,5,21,Samsung,44400000,0.1589762475708799,0.7131825316441697,0.11515931571345961,0.19825762173025607,1,7,1
CUST_00081,26,Tier 1,29,1,290,Apple,15760000,0.1942552746625208,0.7699200537509043,0.362662005996614,0.7458780617560281,0,0,0
